,checked,id,name
0,False,85OKv8p5Ow,4x
1,False,hBqZ3Ar4RJ,Abstract
2,False,KUBCKBkGxV,Adventure
3,False,20iDvpbh7A,Age of Reason
4,False,tJxatX2ZbW,Aliens
5,False,nWDac9tQzt,Alternate History
6,False,4mOtRRwSoj,American West
7,False,a8NM5cugJX,Ancient
8,False,MWoxgHrOJD,Animals
9,False,eFaACC6y2c,Apocalyptic
10,False,k0dglq5j6N,Art
11,False,QB4sEpx1Uu,Aviation
12,False,wpItJuRDiz,Banking
13,False,PinhJrhnxU,Bluffing
14,False,fW5vusE96B,Campaign
15,False,eX8uuNlQkQ,Card Game
16,False,HKaYVNIxAJ,Children's Game
17,False,ODWOjWAJj3,City Building
18,False,w8XD66FUZ2,Civil War
19,False,329DxyFL9D,Civilization
20,False,vXxLT0FDTZ,Collectible Components
21,False,gscaL52VDG,Combat
22,False,G5kfqnPBP6,Comic Book / Strip
23,False,iTvYWFmD1c,Conversation
24,False,ge8pIhEUGE,Cooperative
25,False,nfQONtMbDU,Cube Rail
26,False,Ef4oYLHNhI,Cyberpunk
27,False,bCBXJy9qDw,Deduction
28,False,bKrxqD9mYc,Dexterity
29,False,mavSOM8vjH,Dice
30,False,We3MM46qBr,Drinking
31,False,g2Hwv8t0Y5,Dungeon Crawl
32,False,N0TkEGfEsF,Economic
33,False,B3NRLMK4xD,Educational
34,False,crxgUzJSEz,Electronic
35,False,gsekjrPJz0,Environmental
36,False,u5ZiYctU6T,Espionage
37,False,h8wfZG0j3I,Eurogame
38,False,v4SfYtS2Lr,Expansion
39,False,yq6hVlbM2R,Exploration
40,False,7rV11PKqME,Family Game
41,False,ctumBZyj5l,Fan Made
42,False,ZTneo8TaIO,Fantasy
43,False,Wr8uXcoR9p,Farming
44,False,upXZ8vNfNO,Fighting
45,False,ELg06sncRX,Finance
46,False,3NDxCLUny4,Flicking
47,False,YrDuNj8lvr,Food
48,False,5eYNK0yhRb,Historical
49,False,cAIkk5aLdQ,Horror
50,False,TYnxiuiI3X,Humor
51,False,bHt7HenBQS,Improv
52,False,zqFmdU4Fp2,Industry/Manufacturing
53,False,rrvd68LjOR,Kickstarter
54,False,XeYUw9159M,Legacy
55,False,nHZiDOXNla,Luck
56,False,pIMmuVYnQp,Mafia
57,False,POlqwScVxD,Math
58,False,ZhlfIPxYsw,Mature / Adult
59,False,ruQAhyLfum,Maze
60,False,Cjn6Yxw5S0,Mechs
61,False,AeWXMxbm91,Medical
62,False,QAYkTHK1Dd,Medieval
63,False,AujCle9cUq,Memory
64,False,FC6ElKI9tk,Miniatures
65,False,L6NUwNdblq,Modern Warfare
66,False,TJnR5obHsQ,Movie Theme
67,False,Sod2YBWMKi,Movies / TV / Radio theme
68,False,Kk70K0524Z,Murder/Mystery
69,False,MHkqIVxwtx,Mythology
70,False,IpcJzp0TVC,Napoleonic
71,False,vqZ5XzGWQD,Nautical
72,False,jZEDOpx07e,Negotiation
73,False,rtslXnT90O,Ninjas
74,False,dO9HVl2TW7,Novel-based
75,False,X8J7RM6dxX,Party Game
76,False,9EIayX6n5a,Pirates
77,False,TKQncFVX74,Political
78,False,8Z7nWG2kOw,Post-Apocalyptic
79,False,5APB1MWk6X,Post-Napoleonic
80,False,YyszHun1HP,Prehistoric
81,False,ov6sEmlkiC,Print & Play
82,False,dAyk5NtNTV,Prison Escape
83,False,WVMOS3s2pb,Puzzle
84,False,2Gu62aKdma,RPG
85,False,tQGLgwdbYH,Racing
86,False,PzWI2uaif0,Real-time
87,False,DRqeVkXWqX,Religious
88,False,nuHYRFmMjU,Renaissance
89,False,zyj9ZK3mHB,Resource Management
90,False,KSBdPfxs6F,Roman Empire
91,False,E5rYwP0Ybr,Romance
92,False,3B3QpKvXD3,Sci-Fi
93,False,VzyslQJGrG,Solo / Solitaire
94,False,0MdRqhkNpw,Space Exploration
95,False,Hc6vcim5DS,Spies/Secret Agents
96,False,hShsL2DktG,Sports
97,False,O0ogzwLUe8,Strategy
98,False,usFW8szGAq,Superhero
99,False,buDTYyPw4D,Territory Building
100,False,JwHcKqxh33,Trains
101,False,CWYOF9xu7O,Transportation
102,False,TR4CiP8Huj,Travel
103,False,YGHGDjahKY,Trivia
104,False,djokexoK0U,Video Game Theme
105,False,ssZjU3HETz,War
106,False,jX8asGGR6o,Wargame
107,False,uJgSEPT6zE,Werewolves
108,False,EHUBCITA3t,Western
109,False,rHvAx4hH2f,Word Game
110,False,wTLJSVEbm6,World War I
111,False,fl3TogdUzX,World War II
112,False,OlkGBmu4Va,World War III
113,False,FmGV9rVu1c,Zombies
